tar_name,ori_name,mp_pos,wb_pos,op_pos,origin,tarjet
pose_nose,pose_nose,1,1,1,1,1
pose_left_eye,pose_nose,3,2,17,1,2
pose_right_eye,pose_nose,6,3,16,1,3
pose_left_shoulder,pose_nose,12,6,6,1,4
pose_right_shoulder,pose_nose,13,7,3,1,5
pose_left_elbow,pose_left_shoulder,14,8,7,4,6
pose_right_elbow,pose_right_shoulder,15,9,4,5,7
pose_left_wrist,pose_left_elbow,16,10,8,6,8
pose_right_wrist,pose_right_elbow,17,11,5,7,9
face_right_mouth_up,pose_nose,71,74,76,1,10
face_right_eyebrow_inner,pose_nose,89,45,47,1,11
face_right_mouth_corner,face_right_mouth_up,91,72,74,10,12
face_right_eyebrow_outer,face_right_eyebrow_middle,104,41,43,15,13
face_right_mouth_down,face_right_mouth_corner,118,80,82,12,14
face_right_eyebrow_middle,face_right_eyebrow_inner,139,43,45,11,15
face_right_eye_outer,face_right_eyebrow_outer,164,60,62,13,16
face_right_jaw_up,face_right_jaw_middle,166,27,29,20,17
face_right_eye_inner,face_right_eye_outer,167,63,65,16,18
face_right_jaw_down,pose_nose,182,31,33,1,19
face_right_jaw_middle,face_right_jaw_down,206,29,31,19,20
face_left_mouth_up,pose_nose,301,76,78,1,21
face_left_eyebrow_inner,pose_nose,319,50,48,26,22
face_left_mouth_corner,face_left_mouth_up,321,78,80,21,23
face_left_eyebrow_outer,face_left_eyebrow_middle,334,46,52,1,24
face_left_mouth_down,face_left_mouth_corner,348,82,84,23,25
face_left_eyebrow_middle,face_left_eyebrow_inner,368,48,50,24,26
face_left_eye_outer,face_left_eyebrow_outer,393,69,71,22,27
face_left_jaw_up,face_left_jaw_middle,395,37,39,31,28
face_left_eye_inner,face_left_eye_outer,396,66,68,27,29
face_left_jaw_down,pose_nose,411,33,35,1,30
face_left_jaw_middle,face_left_jaw_down,431,35,37,30,31
leftHand_thumb_cmc,pose_left_wrist,503,93,97,8,32
leftHand_thumb_tip,leftHand_thumb_ip,506,96,100,32,33
leftHand_index_finger_mcp,pose_left_wrist,507,97,101,8,34
leftHand_index_finger_tip,leftHand_index_finger_dip,510,100,104,34,35
leftHand_middle_finger_mcp,pose_left_wrist,511,101,105,8,36
leftHand_middle_finger_tip,leftHand_middle_finger_dip,514,104,108,36,37
leftHand_ring_finger_mcp,pose_left_wrist,515,105,109,8,38
leftHand_ring_finger_tip,leftHand_ring_finger_dip,518,108,112,38,39
leftHand_pinky_mcp,pose_left_wrist,519,109,113,8,40
leftHand_pinky_tip,leftHand_pinky_dip,522,112,116,40,41
rightHand_thumb_cmc,pose_right_wrist,524,114,118,9,42
rightHand_thumb_tip,rightHand_thumb_ip,527,117,121,42,43
rightHand_index_finger_mcp,pose_right_wrist,528,118,122,9,44
rightHand_index_finger_tip,rightHand_index_finger_dip,531,121,125,44,45
rightHand_middle_finger_mcp,pose_right_wrist,532,122,126,9,46
rightHand_middle_finger_tip,rightHand_middle_finger_dip,535,125,129,46,47
rightHand_ring_finger_mcp,pose_right_wrist,536,126,130,9,48
rightHand_ring_finger_tip,rightHand_ring_finger_dip,539,129,133,48,49
rightHand_pinky_mcp,pose_right_wrist,540,130,134,9,50
rightHand_pinky_tip,rightHand_pinky_dip,543,133,137,50,51
